"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - NATURA COSMETICOS SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativo Total,16.535.378,16.093.235,15.379.549,14.800.487,14.324.056,14.189.125,14.957.462,14.844.056,7.737.909,7.793.576,8.421.579,7.947.714,8.477.133,8.840.538,9.394.981,9.738.138,8.547.627,8.838.613,7.200.083,6.772.587,6.646.966,6.894.151,6.248.321,5.486.252,5.252.139,5.738.339,5.375.379,4.877.324,4.127.137,3.871.745,3.793.012,3.508.253,3.460.391,3.603.086,3.221.871,2.885.705,2.775.791,2.831.291,2.741.218,2.255.909,2.110.036,2.182.045
Ativo Circulante,5.880.250,5.332.353,6.455.759,6.127.319,5.852.567,6.189.406,7.056.309,7.019.683,4.056.978,4.105.784,4.802.900,4.436.879,5.000.876,5.427.960,6.018.706,6.459.548,5.401.154,5.771.416,4.239.284,3.707.589,3.636.993,3.977.063,3.512.933,2.925.283,2.828.934,3.361.012,3.378.317,3.055.804,2.429.866,2.262.155,2.203.259,1.912.436,1.990.056,2.228.228,1.869.897,1.715.015,1.639.932,1.780.037,1.716.362,1.496.264,1.388.173,1.502.014
Caixa e Equivalentes de Caixa AC,882.675,866.906,1.215.048,586.752,643.563,798.628,1.693.131,2.210.412,649.817,617.367,1.091.470,785.012,1.196.815,1.352.022,1.591.843,1.623.264,1.812.961,1.965.722,1.164.174,889.657,1.124.483,1.379.626,1.016.293,639.018,592.376,1.229.562,1.144.390,114.192,102.359,80.221,98.208,57.006,47.228,101.279,38.314,374.622,456.035,567.376,500.294,231.761,295.562,438.517
Aplicações Financeiras AC,717.782,502.241,1.215.377,1.179.398,1.299.540,1.856.460,1.977.305,1.491.155,974.193,1.171.066,1.207.459,1.034.969,1.075.361,1.072.098,1.191.836,1.284.607,824.225,713.642,531.812,247.385,338.720,401.793,293.015,203.099,186.435,306.440,498.672,1.107.080,700.904,507.247,417.402,281.789,575.159,766.826,521.915,0,0,0,0,0,0,0
Contas a Receber AC,1.536.365,1.439.205,1.691.581,1.499.830,1.353.288,1.371.903,1.507.921,1.269.715,939.884,948.879,1.051.901,947.165,957.865,791.098,909.013,905.635,886.832,798.941,847.487,802.980,759.127,752.966,807.001,705.289,687.613,604.217,651.416,676.136,554.366,526.317,641.872,480.584,437.213,438.222,570.280,427.631,437.088,380.917,452.868,435.881,373.904,365.363
Estoques AC,1.621.098,1.535.410,1.364.672,1.616.847,1.522.843,1.455.113,1.243.925,1.458.856,860.721,847.929,835.922,1.024.286,1.039.286,1.082.982,963.675,1.080.685,866.982,979.315,889.977,1.073.999,947.891,912.847,799.521,875.180,836.355,805.139,700.665,786.327,730.405,767.874,688.748,738.712,675.251,681.117,571.525,623.539,541.045,552.414,509.551,526.655,425.819,390.933
Ativos Biológicos AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos a Recuperar AC,839.733,742.403,706.056,486.310,435.928,456.921,408.041,325.287,382.036,342.075,329.409,315.086,311.568,308.487,320.392,436.999,299.541,324.177,240.329,247.257,189.783,182.999,181.104,204.777,185.021,136.830,144.459,170.029,165.749,220.846,201.620,233.441,158.969,150.569,101.464,0,0,0,0,0,0,0
Despesas Antecipadas AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Circulantes AC,282.597,246.188,263.025,758.182,597.405,250.381,225.986,264.258,250.327,178.468,286.739,330.361,419.981,821.273,1.041.947,1.128.358,710.613,989.619,565.505,446.311,276.989,346.832,415.999,297.920,341.134,278.824,238.715,202.040,176.083,159.650,155.409,120.904,96.236,90.215,66.399,289.223,205.764,279.330,253.649,301.967,292.888,307.201
Ativo Realizavel Longo Prazo ,1.849.906,1.759.868,1.736.531,1.269.736,1.221.396,1.203.140,1.148.870,1.224.787,1.039.616,1.046.072,1.099.737,1.033.823,1.004.928,885.701,807.444,744.964,706.947,634.237,679.448,900.966,901.620,863.185,818.398,816.902,797.139,825.229,756.428,770.587,706.853,648.165,626.565,746.973,747.759,699.356,671.434,544.857,560.444,489.047,449.860,219.338,183.762,140.493
Aplicações Financeiras Avaliadas a Valor Justo ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aplicações Financeiras Avaliadas ao Custo Amortizado ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a Receber ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.857,560.444,489.047,449.860,219.338,183.762,140.493
Estoques ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,396.036,344.153,409.100,430.508,446.888,492.996,443.431,405.405,281.769,212.608,247.725,188.673,130.471,147.763,194.425,245.381,220.523,193.767,207.151,203.731,219.709,214.246,203.976,208.235,202.618,189.552,192.553,218.820,202.390,180.259,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,407.553,394.641,398.400,451.538,408.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,807.104,804.717,815.687,609.108,599.184,606.741,590.392,599.523,603.932,594.836,497.239,518.274,503.766,531.685,706.541,656.239,642.662,624.631,609.751,593.408,605.520,542.182,566.611,498.618,445.547,437.013,554.420,528.939,496.966,491.175,0,0,0,0,0,0,0
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,4.088.695,4.128.303,2.236.714,2.276.782,2.260.403,2.237.932,2.276.674,2.242.473,1.840.345,1.855.737,1.734.688,1.707.288,1.717.734,1.739.664,1.752.350,1.761.819,1.727.015,1.759.945,1.672.147,1.601.665,1.575.172,1.539.160,1.439.704,1.345.219,1.257.674,1.209.992,1.012.089,865.737,818.918,797.525,800.434,703.601,587.092,552.435,560.467,525.295,488.252,483.368,492.256,455.755,455.911,463.975
Intangível,4.716.527,4.872.711,4.950.545,5.126.650,4.989.690,4.558.647,4.475.609,4.357.113,800.970,785.983,784.254,769.724,753.595,787.213,816.481,771.807,712.511,673.015,609.204,562.367,533.181,514.743,477.286,398.848,368.392,342.106,228.545,185.196,171.500,163.900,162.754,145.243,135.484,123.067,120.073,100.538,87.163,78.839,82.740,84.552,82.190,75.563
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,16.535.378,16.093.235,15.379.549,14.800.487,14.324.056,14.189.125,14.957.462,14.844.056,7.737.909,7.793.576,8.421.579,7.947.714,8.477.133,8.840.538,9.394.981,9.738.138,8.547.627,8.838.613,7.200.083,6.772.587,6.646.966,6.894.151,6.248.321,5.486.252,5.252.139,5.738.339,5.375.379,4.877.324,4.127.137,3.871.745,3.793.012,3.508.253,3.460.391,3.603.086,3.221.871,2.885.705,2.775.791,2.831.291,2.741.218,2.255.909,2.110.036,2.182.045
Passivo Circulante,4.332.617,3.999.550,4.566.881,3.863.114,3.412.867,4.083.280,6.912.005,4.715.001,4.474.495,4.051.646,4.177.899,4.280.732,4.478.893,4.526.131,4.572.920,4.220.795,3.275.817,3.163.671,3.118.996,2.592.416,2.343.395,2.236.629,2.326.840,2.358.526,1.746.126,2.789.242,2.414.712,2.358.999,2.191.332,1.692.444,1.274.719,1.537.257,1.303.271,1.772.673,1.196.459,1.243.162,1.036.992,1.282.127,1.337.082,1.124.322,1.120.834,1.164.829
Obrigações Sociais e Trabalhistas PC,543.007,464.786,574.381,484.783,336.337,308.976,366.028,372.036,208.233,179.788,208.114,237.736,223.340,196.091,201.200,254.888,211.410,177.361,210.515,233.262,183.386,151.638,177.636,217.530,194.178,151.115,211.814,212.489,168.370,127.293,132.045,161.465,154.250,120.906,162.747,0,0,0,0,0,0,0
Fornecedores PC,1.693.000,1.520.571,1.736.791,1.450.457,1.384.936,1.346.760,1.553.763,1.370.812,867.375,759.034,814.939,697.035,742.037,797.416,802.887,999.355,717.078,717.921,599.621,733.162,661.962,666.811,706.586,687.562,620.910,624.837,649.887,566.868,456.864,466.406,488.980,473.757,315.238,380.129,366.494,319.540,260.220,229.981,255.456,222.826,218.894,203.515
Obrigações Fiscais PC,375.976,369.767,493.123,317.740,319.279,409.994,417.792,631.982,842.835,814.412,1.075.431,986.009,951.690,910.662,1.047.961,861.084,740.575,751.759,715.468,636.064,621.474,596.097,659.309,497.417,464.375,479.499,501.509,399.971,417.520,426.025,446.800,395.324,407.921,377.304,371.815,471.130,452.803,427.014,341.306,204.165,181.648,186.524
Empréstimos e Financiamentos PC,815.442,748.055,1.181.859,1.273.279,1.028.315,1.582.416,4.076.669,1.951.973,2.324.833,1.989.701,1.764.488,1.950.681,2.133.356,2.201.767,2.161.383,1.885.760,1.425.777,1.375.629,1.466.599,918.613,808.680,759.683,693.117,877.060,404.659,968.260,999.462,1.135.624,1.088.756,136.781,168.962,455.100,347.835,401.609,226.595,230.301,155.818,484.740,569.366,476.998,325.389,314.999
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.343,0,0,0,491.168,0,0,0,430.079,0,0,0,0,0,176,215.309,303.234
Outros PC,884.626,876.075,560.338,330.624,324.096,418.423,480.396,370.920,231.219,308.711,314.927,409.271,428.470,420.195,359.489,219.708,180.977,141.001,126.793,71.315,67.893,62.400,90.192,78.957,62.004,74.188,52.040,44.047,59.822,44.771,37.932,51.611,78.027,62.646,68.808,222.191,168.151,140.392,170.954,220.157,179.594,156.557
Provisões PC,20.566,20.296,20.389,6.231,19.904,16.711,17.357,17.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,9.503.622,9.359.832,8.238.566,8.435.196,8.658.134,8.374.216,6.410.711,8.716.500,1.905.779,2.540.538,3.247.295,2.709.266,3.160.491,3.383.942,3.744.294,4.605.596,4.289.877,4.334.895,2.932.408,3.243.461,3.346.570,3.383.478,2.753.231,2.212.307,2.353.807,2.059.484,1.654.570,1.467.956,769.400,1.251.196,1.268.048,1.015.438,984.983,849.483,767.910,608.981,615.544,263.631,264.314,185.721,200.805,180.996
Empréstimos e Financiamentos PNC,6.788.282,6.651.311,7.258.521,7.417.516,7.512.881,7.243.723,5.255.231,7.658.947,1.281.453,1.913.916,2.625.683,2.124.215,2.601.725,2.983.396,3.374.497,4.045.482,3.836.823,3.915.866,2.514.611,2.651.680,2.765.112,2.821.865,2.200.789,1.731.888,1.892.682,1.648.322,1.325.057,1.071.646,476.442,987.292,1.017.737,670.393,664.522,525.535,465.068,471.957,481.721,138.545,134.992,129.638,143.320,122.036
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,1.940.097,1.922.035,165.326,135.069,143.547,198.218,195.127,188.095,194.858,186.767,237.513,206.531,162.820,139.660,87.744,171.448,117.782,102.446,98.992,243.142,232.939,225.570,215.647,204.826,198.890,161.177,177.259,258.571,164.769,151.274,140.545,0,0,0,209.316,17.108,15.995,9.342,9.342,0,0,9.419
Tributos Diferidos PNC,414.587,430.834,431.534,463.521,449.973,433.841,422.369,397.762,25.001,24.124,23.775,25.431,24.662,28.587,34.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões PNC,360.656,355.652,383.185,419.090,551.733,498.434,537.984,471.696,404.467,415.731,360.324,353.089,371.284,232.299,247.980,388.666,335.272,316.583,318.805,348.639,348.519,336.043,336.795,275.593,262.235,249.985,152.254,137.739,128.189,112.630,109.766,345.045,320.461,323.948,93.526,119.916,117.828,115.744,119.980,56.083,57.485,49.541
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participação dos Acionistas Não Controladores,0,0,0,0,0,0,0,0,0,0,0,46.722,45.235,48.219,49.581,55.734,46.404,47.019,24.979,25.494,25.534,24.516,22.613,17.692,19.129,18.730,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Patrimônio Líquido,2.699.139,2.733.853,2.574.102,2.502.177,2.253.055,1.731.629,1.634.746,1.412.555,1.357.635,1.201.392,996.385,910.994,792.514,882.246,1.028.186,856.013,935.529,1.293.028,1.123.700,911.216,931.467,1.249.528,1.145.637,897.727,1.133.077,870.883,1.306.096,1.050.368,1.166.404,928.104,1.250.244,955.557,1.172.136,980.929,1.257.501,1.033.561,1.123.254,1.285.532,1.139.821,945.865,788.396,836.219
Capital Social Realizado,451.315,429.503,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,427.073,426.962,421.858,418.061,415.955,409.783,407.087,404.261,402.091,401.166,393.294
Reservas de Capital,382.210,333.429,309.922,261.851,123.634,111.540,123.177,116.566,111.362,105.951,105.637,104.021,100.058,96.009,96.855,93.567,92.232,96.102,99.427,103.435,90.726,77.291,66.458,62.731,97.798,101.205,89.800,86.466,79.898,70.891,57.464,53.425,153.646,150.238,149.613,147.287,144.932,142.371,142.979,143.299,141.968,140.711
Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,1.345.020,1.344.654,1.344.949,969.568,1.048.538,1.048.538,1.031.160,574.749,574.749,598.819,604.419,504.385,431.316,463.489,532.605,321.065,425.603,758.184,638.550,412.201,457.020,776.768,659.005,417.530,249.779,352.445,799.422,541.379,666.107,448.618,783.342,284.074,284.074,434.670,713.023,258.127,256.317,613.554,611.304,161.727,160.827,161.736
Lucros/Prejuízos Acumulados,69.397,13.474,0,166.748,56.190,24.388,0,413.433,352.481,188.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.834,0,0,0,0,0,0,208.377,339.057,0,0,234.891,332.265,140.203,0,257.100,91.981,138.836
Ajustes de Avaliação Patrimonial,451.197,612.793,492.158,676.937,597.620,120.090,53.336,-119.266,-108.030,-119.425,-140.744,-124.485,-165.933,-104.325,-28.347,14.308,-9.379,11.669,-41.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.699,-20.043,-17.683,-18.723,-18.352,-7.546,1.642
Ajustes Acumulados de Conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Resultados Abrangentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.493,-43.352,-31.604,-6.899,-9.607,-6.407,-9.840,-10.199,-4.550,-6.674,-18.478,-17.635,-17.392,-31.603,-25.837,-23.196,0,0,0,0,0,0,0
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
